date,product_type,product_name,unit,min_price,max_price,average_price,year,month,season
2014-02-07,SEBZE,DOMATES SALKIM,KG,1.5,2.5,2.0,2014,2,Winter
2014-02-07,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-10,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-10,SEBZE,PATLICAN UZUN,KG,1.5,2.8,2.15,2014,2,Winter
2014-02-10,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-10,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-10,SEBZE,BIBER SIVRI,KG,1.5,3.5,2.5,2014,2,Winter
2014-02-10,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,2,Winter
2014-02-11,SEBZE,SALATALIK SILOR,KG,2.5,5.5,4.0,2014,2,Winter
2014-02-11,SEBZE,BIBER SIVRI,KG,1.5,4.0,2.75,2014,2,Winter
2014-02-11,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,2,Winter
2014-02-11,SEBZE,PATLICAN UZUN,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-11,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-11,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-12,SEBZE,BIBER SIVRI,KG,1.5,4.0,2.75,2014,2,Winter
2014-02-12,SEBZE,KABAK TAZE,KG,1.0,2.0,1.5,2014,2,Winter
2014-02-12,SEBZE,PATLICAN UZUN,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-12,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-12,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-12,SEBZE,SALATALIK SILOR,KG,2.5,5.5,4.0,2014,2,Winter
2014-02-13,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-13,SEBZE,SALATALIK SILOR,KG,2.5,5.0,3.75,2014,2,Winter
2014-02-13,SEBZE,BIBER SIVRI,KG,1.5,3.5,2.5,2014,2,Winter
2014-02-13,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-13,SEBZE,PATLICAN UZUN,KG,1.5,2.8,2.15,2014,2,Winter
2014-02-13,SEBZE,SOGAN KURU,KG,0.25,0.55,0.4,2014,2,Winter
2014-02-14,SEBZE,DOMATES SALKIM,KG,1.5,3.0,2.25,2014,2,Winter
2014-02-14,SEBZE,SALATALIK SILOR,KG,2.5,5.5,4.0,2014,2,Winter
2014-02-14,SEBZE,BIBER SIVRI,KG,1.5,3.3,2.4,2014,2,Winter
2014-02-14,SEBZE,KABAK TAZE,KG,1.0,1.8,1.4,2014,2,Winter
2014-02-14,SEBZE,PATLICAN UZUN,KG,1.5,3.0,2.25,2014,2,Winter
