,product_name,year,district,planted_area,production_amount
146,SALATALIK SİLOR,2014,İzmir(Menderes),6337,152088
147,SALATALIK SİLOR,2014,İzmir(Tire),600,1200
148,SALATALIK SİLOR,2014,İzmir(Torbalı),395,2250
149,SALATALIK SİLOR,2014,İzmir(Ödemiş),5070,6400
150,SALATALIK SİLOR,2015,İzmir(Bayındır),5000,21500
151,SALATALIK SİLOR,2015,İzmir(Bergama),1404,2404
152,SALATALIK SİLOR,2015,İzmir(Menderes),4691,112584
153,SALATALIK SİLOR,2015,İzmir(Tire),600,1200
154,SALATALIK SİLOR,2015,İzmir(Torbalı),513,2708
155,SALATALIK SİLOR,2015,İzmir(Ödemiş),5070,6400
156,SALATALIK SİLOR,2016,İzmir(Bayındır),3000,12900
157,SALATALIK SİLOR,2016,İzmir(Bergama),1404,2404
158,SALATALIK SİLOR,2016,İzmir(Menderes),4871,116904
159,SALATALIK SİLOR,2016,İzmir(Tire),600,1200
160,SALATALIK SİLOR,2016,İzmir(Torbalı),385,2170
161,SALATALIK SİLOR,2016,İzmir(Ödemiş),3070,5210
162,SALATALIK SİLOR,2017,İzmir(Bayındır),2000,8600
163,SALATALIK SİLOR,2017,İzmir(Bergama),1226,2196
164,SALATALIK SİLOR,2017,İzmir(Menderes),5039,120936
165,SALATALIK SİLOR,2017,İzmir(Tire),600,1200
166,SALATALIK SİLOR,2017,İzmir(Torbalı),505,2710
167,SALATALIK SİLOR,2017,İzmir(Ödemiş),3070,5900
168,SALATALIK SİLOR,2018,İzmir(Bayındır),1500,6450
169,SALATALIK SİLOR,2018,İzmir(Bergama),1026,1856
170,SALATALIK SİLOR,2018,İzmir(Menderes),5079,101580
171,SALATALIK SİLOR,2018,İzmir(Tire),300,600
172,SALATALIK SİLOR,2018,İzmir(Torbalı),378,2138
173,SALATALIK SİLOR,2018,İzmir(Ödemiş),2080,4600
174,SALATALIK SİLOR,2019,İzmir(Bayındır),1000,4300
175,SALATALIK SİLOR,2019,İzmir(Bergama),1018,1844
176,SALATALIK SİLOR,2019,İzmir(Menderes),4930,98600
177,SALATALIK SİLOR,2019,İzmir(Tire),300,600
178,SALATALIK SİLOR,2019,İzmir(Torbalı),285,1623
179,SALATALIK SİLOR,2019,İzmir(Ödemiş),2070,4400
180,SALATALIK SİLOR,2020,İzmir(Bayındır),145,508
181,SALATALIK SİLOR,2020,İzmir(Bergama),1011,1788
182,SALATALIK SİLOR,2020,İzmir(Menderes),4930,98600
183,SALATALIK SİLOR,2020,İzmir(Tire),120,240
184,SALATALIK SİLOR,2020,İzmir(Torbalı),250,1331
185,SALATALIK SİLOR,2020,İzmir(Ödemiş),1000,4500
186,SALATALIK SİLOR,2021,İzmir(Bayındır),100,350
187,SALATALIK SİLOR,2021,İzmir(Bergama),99,1432
188,SALATALIK SİLOR,2021,İzmir(Menderes),4930,98600
189,SALATALIK SİLOR,2021,İzmir(Tire),118,236
190,SALATALIK SİLOR,2021,İzmir(Torbalı),275,1225
191,SALATALIK SİLOR,2021,İzmir(Ödemiş),100,450
192,SALATALIK SİLOR,2022,İzmir(Bayındır),100,350
193,SALATALIK SİLOR,2022,İzmir(Bergama),75,1583
194,SALATALIK SİLOR,2022,İzmir(Menderes),4930,98600
195,SALATALIK SİLOR,2022,İzmir(Tire),207,414
196,SALATALIK SİLOR,2022,İzmir(Torbalı),205,948
197,SALATALIK SİLOR,2022,İzmir(Ödemiş),100,450
198,SALATALIK SİLOR,2023,İzmir(Bayındır),100,350
199,SALATALIK SİLOR,2023,İzmir(Bergama),34,244
200,SALATALIK SİLOR,2023,İzmir(Menderes),4950,99000
201,SALATALIK SİLOR,2023,İzmir(Tire),186,372
202,SALATALIK SİLOR,2023,İzmir(Torbalı),168,900
203,SALATALIK SİLOR,2023,İzmir(Ödemiş),2000,9000
204,SALATALIK SİLOR,2024,İzmir(Bayındır),100,350
205,SALATALIK SİLOR,2024,İzmir(Bergama),231,579
206,SALATALIK SİLOR,2024,İzmir(Menderes),5400,108000
207,SALATALIK SİLOR,2024,İzmir(Tire),160,320
208,SALATALIK SİLOR,2024,İzmir(Torbalı),193,1035
209,SALATALIK SİLOR,2024,İzmir(Ödemiş),1500,6750
210,SALATALIK SİLOR,2025,İzmir(Bayındır),124,436
211,SALATALIK SİLOR,2025,İzmir(Bergama),204,349
212,SALATALIK SİLOR,2025,İzmir(Menderes),4400,88439
213,SALATALIK SİLOR,2025,İzmir(Tire),2100,9480
214,SALATALIK SİLOR,2025,İzmir(Torbalı),180,894
215,SALATALIK SİLOR,2025,İzmir(Ödemiş),1000,4510
216,KABAK TAZE,2014,İzmir(Bayındır),1000,3500
217,KABAK TAZE,2014,İzmir(Bergama),400,680
218,KABAK TAZE,2014,İzmir(Menderes),350,700
219,KABAK TAZE,2014,İzmir(Tire),450,1125
220,KABAK TAZE,2014,İzmir(Torbalı),450,1575
221,KABAK TAZE,2014,İzmir(Ödemiş),210,660
222,KABAK TAZE,2015,İzmir(Bayındır),800,2800
223,KABAK TAZE,2015,İzmir(Bergama),400,680
224,KABAK TAZE,2015,İzmir(Menderes),355,710
225,KABAK TAZE,2015,İzmir(Tire),450,1125
226,KABAK TAZE,2015,İzmir(Torbalı),330,1155
227,KABAK TAZE,2015,İzmir(Ödemiş),210,660
228,KABAK TAZE,2016,İzmir(Bayındır),800,2800
229,KABAK TAZE,2016,İzmir(Bergama),400,680
230,KABAK TAZE,2016,İzmir(Menderes),355,710
231,KABAK TAZE,2016,İzmir(Tire),400,980
232,KABAK TAZE,2016,İzmir(Torbalı),300,1050
233,KABAK TAZE,2016,İzmir(Ödemiş),220,711
234,KABAK TAZE,2017,İzmir(Bayındır),800,2800
235,KABAK TAZE,2017,İzmir(Bergama),400,680
