,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
148,01/03/2024,SEBZE,KABAK  BAL,kg,5.0,13.0,9.0
149,01/03/2024,SEBZE,KEREVIZ,kg,10.0,21.0,15.5
150,01/03/2024,SEBZE,MARUL,adet,5.0,20.0,12.5
151,01/03/2024,SEBZE,PATLICAN  UZUN,kg,8.0,35.0,21.5
152,01/03/2024,SEBZE,PATLICAN TOPAN,kg,8.0,35.0,21.5
153,01/03/2024,SEBZE,PANCAR,kg,5.0,20.0,12.5
154,01/03/2024,SEBZE,SOĞAN   TAZE,kg,10.0,45.0,27.5
155,01/03/2024,SEBZE,SOĞAN   KURU,kg,4.0,15.0,9.5
156,01/03/2024,SEBZE,LAHANA  KIRMIZI,kg,8.0,20.0,14.0
157,01/03/2024,SEBZE,KARNABAHAR,kg,5.0,20.0,12.5
158,01/03/2024,SEBZE,TURP  KIRMIZI,kg,4.0,20.0,12.0
159,01/03/2024,SEBZE,SEMIZ OTU,adet,8.0,13.0,10.5
160,01/03/2024,SEBZE,YAPRAK  SALAMURA,kg,10.0,50.0,30.0
161,01/03/2024,SEBZE,SARIMSAK  KURU,kg,15.0,110.0,62.5
162,01/03/2024,SEBZE,PATATES  CALMA,kg,5.0,23.0,14.0
163,01/03/2024,SEBZE,BİBER ÇARLİSTON,kg,10.0,30.0,20.0
164,01/03/2024,SEBZE,MARUL AYSBERG,adet,5.0,30.0,17.5
165,01/03/2024,SEBZE,MANTAR,kg,15.0,40.0,27.5
166,01/03/2024,SEBZE,SOĞAN   KIRMIZI,kg,10.0,35.0,22.5
167,01/03/2024,SEBZE,BİBER KIRMIZI,kg,13.0,38.0,25.5
168,01/03/2024,SEBZE,LAHANA  BEYAZ,kg,5.0,23.0,14.0
169,01/03/2024,SEBZE,PIRASA,kg,4.0,15.0,9.5
170,01/03/2024,SEBZE,PAZI,adet,4.0,24.0,14.0
171,01/03/2024,SEBZE,BİBER  KIL ACI,kg,10.0,50.0,30.0
172,01/03/2024,SEBZE,LAHANA  BURUKSEL,kg,10.0,50.0,30.0
173,01/03/2024,SEBZE,DOMATES (DİĞER),kg,7.0,40.0,23.5
174,01/03/2024,SEBZE,SALATALIK ,kg,8.0,32.0,20.0
175,01/03/2024,SEBZE,DOMATES  SALKIM,kg,12.0,32.0,22.0
176,01/03/2024,SEBZE,TURP  SIYAH,kg,3.0,20.0,11.5
177,01/03/2024,SEBZE,MARUL KIVIRCIK,adet,5.0,30.0,17.5
178,01/03/2024,SEBZE,YERELMASI,kg,5.0,16.0,10.5
179,01/03/2024,SEBZE,DENIZ BÖRÜLCESİ,adet,4.0,30.0,17.0
