,URUN_ADI,ORTALAMA_FIYAT,YIL,SEZON
215,DOMATES  SALKIM,1.75,2014,Spring
216,SALATALIK  SİLOR,1.25,2014,Spring
217,KARPUZ,1.0,2014,Spring
218,DOMATES  SALKIM,1.75,2014,Spring
219,SALATALIK  SİLOR,1.35,2014,Spring
220,KARPUZ,0.9,2014,Spring
221,KARPUZ,0.9,2014,Spring
222,SALATALIK  SİLOR,1.25,2014,Spring
223,DOMATES  SALKIM,1.75,2014,Spring
224,DOMATES  SALKIM,1.75,2014,Spring
225,KARPUZ,0.93,2014,Spring
226,SALATALIK  SİLOR,1.25,2014,Spring
227,DOMATES  SALKIM,1.2,2014,Spring
228,SALATALIK  SİLOR,1.25,2014,Spring
229,KARPUZ,0.93,2014,Spring
230,DOMATES  SALKIM,1.1,2014,Spring
231,SALATALIK  SİLOR,1.25,2014,Spring
232,KARPUZ,0.8,2014,Spring
233,DOMATES  SALKIM,1.05,2014,Spring
234,KARPUZ,0.75,2014,Spring
235,DOMATES  SALKIM,1.05,2014,Spring
236,KARPUZ,0.75,2014,Spring
237,DOMATES  SALKIM,1.05,2014,Spring
238,KARPUZ,0.75,2014,Spring
239,KARPUZ,0.7,2014,Spring
240,DOMATES  SALKIM,1.05,2014,Spring
241,DOMATES  SALKIM,1.0,2014,Spring
242,KARPUZ,0.7,2014,Spring
243,DOMATES  SALKIM,1.0,2014,Spring
244,KARPUZ,0.65,2014,Spring
245,DOMATES  SALKIM,1.05,2014,Spring
246,KARPUZ,0.65,2014,Spring
247,DOMATES  SALKIM,1.05,2014,Spring
248,KARPUZ,0.6,2014,Spring
249,KARPUZ,0.55,2014,Summer
250,DOMATES  SALKIM,1.15,2014,Summer
251,KARPUZ,0.55,2014,Summer
252,DOMATES  SALKIM,1.15,2014,Summer
253,DOMATES  SALKIM,1.1,2014,Summer
254,KARPUZ,0.53,2014,Summer
255,KARPUZ,0.5,2014,Summer
256,DOMATES  SALKIM,1.15,2014,Summer
257,DOMATES  SALKIM,1.15,2014,Summer
258,KARPUZ,0.5,2014,Summer
259,DOMATES  SALKIM,1.05,2014,Summer
260,KARPUZ,0.43,2014,Summer
261,DOMATES  SALKIM,1.0,2014,Summer
262,KARPUZ,0.43,2014,Summer
263,KARPUZ,0.43,2014,Summer
264,DOMATES  SALKIM,0.95,2014,Summer
265,DOMATES  SALKIM,0.95,2014,Summer
266,KARPUZ,0.43,2014,Summer
267,DOMATES  SALKIM,0.95,2014,Summer
268,KARPUZ,0.43,2014,Summer
269,DOMATES  SALKIM,0.95,2014,Summer
