,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
25010,2024-09-21T00:00:00,MEYVE,ARMUT  S.MARIA,kg,26.0,50.0,38.0
25011,2024-09-21T00:00:00,MEYVE,ELMA  DİĞER,kg,15.0,35.0,25.0
25012,2024-09-21T00:00:00,MEYVE,CILEK,kg,50.0,105.0,77.5
25013,2024-09-21T00:00:00,MEYVE,ELMA  STARKING,kg,15.0,30.0,22.5
25014,2024-09-21T00:00:00,MEYVE,ERIK  MURDUM,kg,12.0,25.0,18.5
25015,2024-09-21T00:00:00,MEYVE,GREYFURT,kg,15.0,30.0,22.5
25016,2024-09-21T00:00:00,SEBZE,KAVUN DİĞER,kg,8.0,15.0,11.5
25017,2024-09-21T00:00:00,SEBZE,KARPUZ,kg,5.0,12.0,8.5
25018,2024-09-21T00:00:00,MEYVE,ELMA  GALA,kg,15.0,35.0,25.0
25019,2024-09-21T00:00:00,MEYVE,NAR,kg,20.0,40.0,30.0
25020,2024-09-21T00:00:00,MEYVE,KAYISI ,kg,40.0,60.0,50.0
25021,2024-09-21T00:00:00,MEYVE,MALTA,kg,20.0,30.0,25.0
25022,2024-09-21T00:00:00,MEYVE,MANDALİNA,kg,15.0,30.0,22.5
25023,2024-09-21T00:00:00,MEYVE,MUZ  YERLI,kg,35.0,55.0,45.0
25024,2024-09-21T00:00:00,MEYVE,ERİK DİĞER,kg,25.0,45.0,35.0
25025,2024-09-21T00:00:00,MEYVE,PORTAKAL  ,kg,15.0,35.0,25.0
25026,2024-09-21T00:00:00,MEYVE,LİMON DİĞER ,kg,20.0,55.0,37.5
25027,2024-09-21T00:00:00,SEBZE,Y.MAYDONOZ,bağ,3.0,6.0,4.5
25028,2024-09-21T00:00:00,SEBZE,Y.DEREOTU,bağ,3.0,8.0,5.5
25029,2024-09-21T00:00:00,SEBZE,Y.ROKA,bağ,3.0,6.0,4.5
25030,2024-09-21T00:00:00,SEBZE,Y.TERE,bağ,3.0,7.0,5.0
25031,2024-09-21T00:00:00,SEBZE,Y.NANE,bağ,3.0,6.0,4.5
25032,2024-09-21T00:00:00,MEYVE,INCIR,kg,40.0,90.0,65.0
25033,2024-09-21T00:00:00,MEYVE,ERİK  ANJELIKA,kg,10.0,25.0,17.5
25034,2024-09-21T00:00:00,MEYVE,ÜZÜM  SULTANİYE,kg,20.0,50.0,35.0
25035,2024-09-21T00:00:00,MEYVE,ELMA  GOLDEN,kg,10.0,25.0,17.5
25036,2024-09-21T00:00:00,MEYVE,ARMUT  DİĞER,kg,15.0,40.0,27.5
25037,2024-09-21T00:00:00,SEBZE,KAVUN  SERA,kg,15.0,25.0,20.0
25038,2024-09-21T00:00:00,MEYVE,NEKTARIN  BEYAZ,kg,20.0,50.0,35.0
25039,2024-09-21T00:00:00,MEYVE,LİMON  YENİ (MAYER),kg,20.0,50.0,35.0
25040,2024-09-21T00:00:00,MEYVE,HÜNNAP,kg,20.0,40.0,30.0
25041,2024-09-21T00:00:00,MEYVE,ELMA  ARJANTİN,kg,15.0,30.0,22.5
25042,2024-09-21T00:00:00,MEYVE,ARMUT AKÇA,kg,20.0,40.0,30.0
25043,2024-09-21T00:00:00,SEBZE,SALATALIK   KORNİŞON,kg,15.0,35.0,25.0
25044,2024-09-21T00:00:00,MEYVE,ÜZÜM  BEYAZ,kg,30.0,65.0,47.5
25045,2024-09-21T00:00:00,MEYVE,ÜZÜM  SİYAH,kg,32.0,60.0,46.0
25046,2024-09-21T00:00:00,SEBZE,BİBER SALÇALIK,kg,10.0,25.0,17.5
25047,2024-09-21T00:00:00,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,20.0,50.0,35.0
25048,2024-09-21T00:00:00,SEBZE,DOMATES PEMBE,kg,20.0,45.0,32.5
25049,2024-09-21T00:00:00,SEBZE,HAVUÇ(TAKOZ),kg,10.0,20.0,15.0
25050,2024-09-21T00:00:00,MEYVE,LİMON LAMAS,kg,35.0,60.0,47.5
25051,2024-09-21T00:00:00,SEBZE,PATATES TAZE,kg,8.0,20.0,14.0
25052,2024-09-21T00:00:00,SEBZE,MANTAR (İSTİRİDYE),kg,65.0,120.0,92.5
25053,2024-09-21T00:00:00,SEBZE,BİBER KÖY(MAZO),kg,12.0,35.0,23.5
25054,2024-09-21T00:00:00,SEBZE,FASULYE CİNO,kg,30.0,65.0,47.5
25055,2024-09-21T00:00:00,SEBZE,DOMATES (KOKTEYL),kg,20.0,45.0,32.5
25056,2024-09-21T00:00:00,SEBZE,BİBER SİVRİ (DİĞER),kg,10.0,35.0,22.5
25057,2024-09-21T00:00:00,SEBZE,DOMATES AYAŞ,kg,10.0,18.0,14.0
25058,2024-09-21T00:00:00,SEBZE,HAVUÇ BEYPAZARI,kg,8.0,15.0,11.5
25059,2024-09-21T00:00:00,SEBZE,KAVUN KIRKAĞAÇ,kg,7.0,12.0,9.5
25060,2024-09-21T00:00:00,SEBZE,SALATALIK DİĞER,kg,8.0,20.0,14.0
25061,2024-09-21T00:00:00,SEBZE,SOĞAN MOR,kg,15.0,30.0,22.5
25062,2024-09-21T00:00:00,SEBZE,TURP DİĞER,kg,6.0,15.0,10.5
25063,2024-09-21T00:00:00,SEBZE,SALATALIK ÇENGELKÖY,kg,15.0,25.0,20.0
25064,2024-09-21T00:00:00,İTHAL,AVAKADO,adet,25.0,55.0,40.0
25065,2024-09-21T00:00:00,İTHAL,ANANAS,adet,35.0,72.0,53.5
25066,2024-09-21T00:00:00,İTHAL,MUZ  ITHAL,kg,45.0,80.0,62.5
25067,2024-09-21T00:00:00,MEYVE,NEKTARIN KIRMIZI,kg,20.0,55.0,37.5
25068,2024-09-21T00:00:00,SEBZE,BROKOLI,kg,25.0,45.0,35.0
25069,2024-09-21T00:00:00,MEYVE,CENNET ELMASI,kg,20.0,45.0,32.5
25070,2024-09-21T00:00:00,MEYVE,ŞEFTALI,kg,20.0,45.0,32.5
25071,2024-09-21T00:00:00,SEBZE,Y.REYHAN,adet,8.0,20.0,14.0
25072,2024-09-21T00:00:00,SEBZE,BAMYA,kg,50.0,130.0,90.0
25073,2024-09-21T00:00:00,SEBZE,BORULCE,kg,50.0,95.0,72.5
25074,2024-09-21T00:00:00,SEBZE,BİBER  SİVRİ,kg,20.0,40.0,30.0
25075,2024-09-21T00:00:00,SEBZE,BİBER  DOLMA,kg,15.0,40.0,27.5
25076,2024-09-21T00:00:00,SEBZE,ENGINAR,adet,20.0,40.0,30.0
25077,2024-09-21T00:00:00,SEBZE,FASULYE   AYSE,kg,40.0,95.0,67.5
25078,2024-09-21T00:00:00,SEBZE,FASULYE   CALI,kg,35.0,85.0,60.0
25079,2024-09-21T00:00:00,SEBZE,BARBUNYA TAZE,kg,45.0,95.0,70.0
25080,2024-09-21T00:00:00,SEBZE,HAVUÇ,kg,15.0,25.0,20.0
25081,2024-09-21T00:00:00,SEBZE,ISPANAK,kg,15.0,35.0,25.0
25082,2024-09-21T00:00:00,SEBZE,KABAK TAZE,kg,15.0,35.0,25.0
25083,2024-09-21T00:00:00,SEBZE,KABAK  BAL,kg,10.0,20.0,15.0
25084,2024-09-21T00:00:00,SEBZE,KEREVIZ,kg,15.0,30.0,22.5
25085,2024-09-21T00:00:00,SEBZE,MARUL,adet,10.0,25.0,17.5
25086,2024-09-21T00:00:00,SEBZE,PATLICAN  UZUN,kg,11.0,25.0,18.0
25087,2024-09-21T00:00:00,SEBZE,PATLICAN TOPAN,kg,12.0,25.0,18.5
25088,2024-09-21T00:00:00,SEBZE,PATATES DİĞER,kg,8.0,15.0,11.5
25089,2024-09-21T00:00:00,SEBZE,PANCAR,kg,8.0,20.0,14.0
25090,2024-09-21T00:00:00,SEBZE,SOĞAN   TAZE,kg,15.0,35.0,25.0
25091,2024-09-21T00:00:00,SEBZE,SOĞAN   KURU,kg,8.0,15.0,11.5
25092,2024-09-21T00:00:00,SEBZE,LAHANA  KIRMIZI,kg,10.0,20.0,15.0
25093,2024-09-21T00:00:00,SEBZE,KARNABAHAR,kg,15.0,30.0,22.5
25094,2024-09-21T00:00:00,SEBZE,TURP  KIRMIZI,kg,10.0,20.0,15.0
25095,2024-09-21T00:00:00,MEYVE,DARI(ADET),adet,5.0,10.0,7.5
25096,2024-09-21T00:00:00,SEBZE,SEMIZ OTU,adet,7.0,15.0,11.0
25097,2024-09-21T00:00:00,SEBZE,YAPRAK TAZE,kg,45.0,80.0,62.5
25098,2024-09-21T00:00:00,SEBZE,SARIMSAK  KURU,kg,60.0,130.0,95.0
25099,2024-09-21T00:00:00,SEBZE,PATATES  CALMA,kg,10.0,20.0,15.0
25100,2024-09-21T00:00:00,SEBZE,BİBER ÇARLİSTON,kg,15.0,35.0,25.0
25101,2024-09-21T00:00:00,SEBZE,MARUL AYSBERG,adet,12.0,25.0,18.5
25102,2024-09-21T00:00:00,SEBZE,MANTAR,kg,45.0,90.0,67.5
25103,2024-09-23T00:00:00,SEBZE,KABAK  BAL,kg,10.0,20.0,15.0
25104,2024-09-23T00:00:00,SEBZE,KEREVIZ,kg,15.0,30.0,22.5
25105,2024-09-23T00:00:00,SEBZE,MARUL,adet,10.0,25.0,17.5
25106,2024-09-23T00:00:00,SEBZE,PATLICAN  UZUN,kg,11.0,25.0,18.0
25107,2024-09-23T00:00:00,SEBZE,PATLICAN TOPAN,kg,12.0,25.0,18.5
25108,2024-09-23T00:00:00,SEBZE,PATATES DİĞER,kg,8.0,15.0,11.5
25109,2024-09-23T00:00:00,SEBZE,PANCAR,kg,8.0,20.0,14.0
25110,2024-09-23T00:00:00,SEBZE,SOĞAN   TAZE,kg,15.0,35.0,25.0
25111,2024-09-23T00:00:00,SEBZE,SOĞAN   KURU,kg,8.0,15.0,11.5
25112,2024-09-23T00:00:00,SEBZE,LAHANA  KIRMIZI,kg,10.0,20.0,15.0
25113,2024-09-23T00:00:00,SEBZE,KARNABAHAR,kg,15.0,30.0,22.5
25114,2024-09-23T00:00:00,SEBZE,TURP  KIRMIZI,kg,10.0,20.0,15.0
25115,2024-09-23T00:00:00,MEYVE,DARI(ADET),adet,5.0,10.0,7.5
25116,2024-09-23T00:00:00,SEBZE,SEMIZ OTU,adet,7.0,15.0,11.0
25117,2024-09-23T00:00:00,SEBZE,YAPRAK TAZE,kg,45.0,80.0,62.5
25118,2024-09-23T00:00:00,SEBZE,SARIMSAK  KURU,kg,60.0,130.0,95.0
25119,2024-09-23T00:00:00,SEBZE,PATATES  CALMA,kg,10.0,18.0,14.0
25120,2024-09-23T00:00:00,SEBZE,BİBER ÇARLİSTON,kg,15.0,35.0,25.0
25121,2024-09-23T00:00:00,SEBZE,MARUL AYSBERG,adet,12.0,25.0,18.5
25122,2024-09-23T00:00:00,SEBZE,MANTAR,kg,45.0,90.0,67.5
