_id,TARIH,MAL_TURU,MAL_ADI,BIRIM,ASGARI_UCRET,AZAMI_UCRET,ORTALAMA_UCRET
75,2024-01-02T00:00:00,MEYVE,ÜZÜM  RED GLOBE,kg,10.0,60.0,35
76,2024-01-02T00:00:00,MEYVE,ELMA GSMİT,kg,10.0,42.0,26
77,2024-01-02T00:00:00,İTHAL,ELMA STARKING(İTHAL),kg,10.0,50.0,30
78,2024-01-02T00:00:00,SEBZE,SALATALIK  SİLOR,kg,8.0,40.0,24
79,2024-01-02T00:00:00,MEYVE,HÜNNAP,kg,11.0,40.0,25.5
80,2024-01-02T00:00:00,MEYVE,ELMA  ARJANTİN,kg,10.0,32.0,21
81,2024-01-02T00:00:00,İTHAL,SARIMSAK  İTHAL,kg,20.0,140.0,80
82,2024-01-02T00:00:00,MEYVE,PORTAKAL WASHINGTON,kg,7.0,18.0,12.5
83,2024-01-02T00:00:00,MEYVE,ÜZÜM  BEYAZ,kg,10.0,70.0,40
84,2024-01-02T00:00:00,SEBZE,BİBER  MEKSİKA,kg,8.0,35.0,21.5
85,2024-01-02T00:00:00,MEYVE,ÜZÜM  SİYAH,kg,23.0,65.0,44
86,2024-01-02T00:00:00,SEBZE,ALABAŞ,kg,4.0,15.0,9.5
87,2024-01-02T00:00:00,MEYVE,MANDALİNA SATSUMA,kg,5.0,15.0,10
88,2024-01-02T00:00:00,SEBZE,DOMATES SALKIM  (İYİ TARIM),kg,10.0,38.0,24
89,2024-01-02T00:00:00,SEBZE,DOMATES PEMBE,kg,10.0,40.0,25
90,2024-01-02T00:00:00,SEBZE,HAVUÇ(TAKOZ),kg,5.0,26.0,15.5
91,2024-01-02T00:00:00,MEYVE,LİMON LAMAS,kg,6.0,17.0,11.5
92,2024-01-02T00:00:00,SEBZE,PATATES TAZE,kg,5.0,20.0,12.5
93,2024-01-02T00:00:00,SEBZE,MANTAR (İSTİRİDYE),kg,30.0,100.0,65
94,2024-01-02T00:00:00,SEBZE,BİBER KÖY(MAZO),kg,10.0,50.0,30
95,2024-01-02T00:00:00,SEBZE,LAHANA KARA,kg,10.0,15.0,12.5
96,2024-01-02T00:00:00,MEYVE,ELMA FUJİ,kg,9.0,33.0,21
97,2024-01-02T00:00:00,SEBZE,ISPANAK,kg,5.0,35.0,20
98,2024-01-02T00:00:00,SEBZE,KABAK TAZE,kg,10.0,45.0,27.5
