|||Sütunlar||||||
Satırlar|||İzmir(Bayındır)-1178|İzmir(Bergama)-1181|İzmir(Menderes)-1826|İzmir(Tire)-1677|İzmir(Torbalı)-1682|İzmir(Ödemiş)-1563|
|||||||||
|||||||||
|Ekilen Alan ve 01.13.14.00.02. (Marul (Göbekli)) - Dekar|2013|1170.0|800.0|2200.0|350.0|475.0|1005.0|
||2014|1170.0|800.0|2200.0|300.0|460.0|1016.0|
||2015|1400.0|800.0|2200.0|325.0|300.0|1016.0|
||2016|1416.0|800.0|2200.0|350.0|275.0|1016.0|
||2017|1416.0|800.0|2200.0|300.0|360.0|1016.0|
||2018|1000.0|800.0|700.0|500.0|562.0|1016.0|
||2019|1300.0|800.0|700.0|500.0|590.0|1016.0|
||2020|1300.0|800.0|700.0|500.0|405.0|1000.0|
||2021|1300.0|14.0|420.0|836.0|323.0|1300.0|
||2022|1400.0|13.0|420.0|3124.0|507.0|1300.0|
||2023|2125.0|53.0|150.0|4150.0|495.0|1000.0|
||2024|2500.0|111.0|300.0|5600.0|690.0|1000.0|
||2025|4212.0|45.0|100.0|5000.0|1555.0|1000.0|
|Ekilen Alan ve 01.13.14.00.03. (Marul (İceberg)) - Dekar|2013|||490.0||||
||2014|||490.0||||
||2015|||500.0||||
||2016|||500.0||45.0||
||2017|||500.0||120.0||
||2018|||1300.0||150.0||
||2019|||1500.0||160.0||
||2020|||1500.0||95.0||
||2021|||900.0||95.0||
||2022|||900.0||255.0||
||2023|||350.0||185.0|1000.0|
||2024|||200.0||250.0|1000.0|
||2025|||1200.0||400.0|1000.0|
|Ekilen Alan ve 01.13.16.00.00. (Ispanak) - Dekar|2013|150.0|500.0|140.0|550.0|1110.0|1000.0|
||2014|150.0|500.0|140.0|500.0|1110.0|200.0|
||2015|100.0|500.0|140.0|525.0|955.0|200.0|
||2016|100.0|500.0|130.0|550.0|900.0|250.0|
||2017|100.0|500.0|120.0|500.0|6135.0|250.0|
||2018|100.0|500.0|120.0|500.0|6200.0|200.0|
||2019|150.0|500.0|120.0|500.0|725.0|200.0|
||2020|200.0|500.0|120.0|365.0|575.0|100.0|
||2021|200.0|508.0|155.0|126.0|700.0|25.0|
||2022|300.0|205.0|155.0|173.0|950.0|25.0|
||2023|180.0|75.0|100.0|270.0|985.0|300.0|
||2024|180.0|368.0|100.0|280.0|980.0||
||2025|124.0|717.0|250.0|150.0|750.0||
|Ekilen Alan ve 01.13.17.00.00. (Enginar) - Dekar|2013||500.0|320.0|25.0|675.0||
||2014||500.0|320.0|25.0|675.0||
||2015||500.0|320.0|25.0|650.0||
||2016||500.0|320.0|25.0|450.0||
||2017||500.0|290.0|30.0|525.0||
||2018||500.0|290.0|150.0|440.0||
||2019||500.0|290.0|150.0|590.0||
||2020||5.0|290.0|20.0|1165.0||
||2021|||275.0|3.0|1250.0||
